,SCHEDULED_SPEED,ORIGIN_CONGESTION,DESTINATION_CONGESTION,ROUTE_BOTTLENECK_INTERACTION,AIRLINE_HUB_DOMINANCE,ROUTE_FREQUENCY,
count,2913799.0,2913799.0,2913799.0,2913799.0,2913799.0,2913799.0,count
mean,5.15,0.31,0.31,0.1,0.28,553.52,mean
std,1.42,0.17,0.17,0.08,0.24,475.03,std
min,0.27,0.05,0.05,0.0,0.0,1.0,min
25%,4.2,0.2,0.18,0.04,0.1,198.0,25%
50%,5.3,0.28,0.27,0.08,0.21,416.0,50%
75%,6.17,0.4,0.4,0.12,0.42,782.0,75%
max,20.44,1.0,1.0,1.0,1.0,3529.0,max
variance,2.0,0.03,0.03,0.01,0.06,225649.27,variance
skewness,-0.33,1.31,1.29,2.99,1.21,1.62,skewness
kurtosis,-0.37,2.8,2.7,18.21,0.97,4.17,kurtosis
